time,pixel,ra,dec,prob,prob_stage2
464143126.6193166,10590.0,131.89655172413794,-46.5718474134496,0.2011180818080902,0.6901843547821045
464145526.6193166,1799.0,178.5,44.99388015045713,0.0550080798566341,0.5749636292457581
464156926.6193166,1283.0,300.6,52.801853781730635,0.0513132438063621,0.9414083361625671
464158726.6193166,2458.0,253.125,37.16889965599945,0.8954654932022095,0.845988929271698
464158726.6193166,6185.0,296.71874999999994,0.0,0.0795627534389495,0.5463544130325317
464159326.6193166,7075.0,278.4375,-8.385538647081319,0.075846366584301,0.9127745628356934
464166526.6193166,3549.0,82.96875,24.62431835216408,0.1193181499838829,0.6707367300987244
464166526.6193166,3805.0,82.96875,22.02431283704216,0.0570454597473144,0.5884112119674683
464169526.6193166,7452.0,260.15625,-12.024699180565818,0.0811422169208526,0.6945499181747437
464170126.6193166,4665.0,341.71874999999994,14.47751218592994,0.0544818378984928,0.7480776906013489
464171326.6193166,905.0,280.7142857142857,58.91977535280315,0.9735087156295776,0.6344510912895203
464173126.6193166,7276.0,123.75,-10.806922874860348,0.0750125870108604,0.6632298827171326
464177326.6193166,8936.0,113.90625,-27.27961273597809,0.1731211990118026,0.545906126499176
464178526.6193166,1676.0,162.9310344827586,46.57184741344958,0.0617344751954078,0.6522721648216248
464182126.6193166,1487.0,278.3333333333333,49.70239032663069,0.0538061335682868,0.9214832186698914
464182126.6193166,3407.0,42.18749999999999,25.94447977237,0.0648616924881935,0.7757837176322937
464185126.6193166,7787.0,120.9375,-15.713861048008212,0.1031193360686302,0.619777262210846
464185126.6193166,10479.0,154.49999999999997,-44.99388015045713,0.1342520266771316,0.6413239240646362
464185726.6193166,10221.0,127.96874999999996,-41.81031489577862,0.0643097385764122,0.631184995174408
464185726.6193166,10588.0,125.68965517241378,-46.5718474134496,0.900933027267456,0.7256777286529541
464188726.6193166,10590.0,131.89655172413794,-46.5718474134496,0.112544298171997,0.578890860080719
464189926.6193166,1184.0,301.875,54.340912303861245,0.0503330491483211,0.9077117443084717
464195926.6193166,10590.0,131.89655172413794,-46.5718474134496,0.3329159319400787,0.5132750868797302
464198326.6193166,11109.0,80.625,-54.340912303861245,0.1092346459627151,0.7218156456947327
464205526.6193166,2257.0,49.21875,38.68218745348943,0.8640074133872986,0.7099700570106506
464205526.6193166,5830.0,18.281250000000004,2.388015463268772,0.0715275034308433,0.860074520111084
464211526.6193166,11993.0,131.25,-72.38756092964962,0.0619551390409469,0.9428048729896545
464212126.6193166,4322.0,97.03125,16.957763300004146,0.2198079973459243,0.5013689994812012
464212726.6193166,3934.0,84.37499999999999,20.74237995448715,0.1194412559270858,0.621303141117096
464215726.6193166,2108.0,350.15625,41.8103148957786,0.1166593506932258,0.6818515062332153
464216326.6193166,2108.0,350.15625,41.8103148957786,0.5353435277938843,0.5749460458755493
464218126.6193166,4066.0,97.03125,19.47122063449069,0.5613893270492554,0.7099235653877258
464218126.6193166,4067.0,99.84375,19.47122063449069,0.0960413664579391,0.8503080010414124
464218126.6193166,4195.0,98.4375,18.209956864283,0.0775517299771308,0.6487026810646057
464218126.6193166,4196.0,101.25,18.209956864283,0.8616388440132141,0.8741532564163208
464231926.6193166,7713.0,274.21875,-14.477512185929925,0.7913205623626709,0.5113142728805542
464232526.6193166,7713.0,274.21875,-14.477512185929925,0.425735205411911,0.5486453771591187
464236726.6193166,6298.0,253.125,-1.1937484371410818,0.0526001565158367,0.5377957224845886
464240326.6193166,4436.0,56.249999999999986,15.713861048008212,0.1349449604749679,0.8338884115219116
464240926.6193166,9691.0,77.34375,-35.68533471265205,0.3308299779891968,0.7222422957420349
464241526.6193166,9691.0,77.34375,-35.68533471265205,0.166988730430603,0.7100792527198792
464242726.6193166,11469.0,96.75,-60.4344388449523,0.0994332134723663,0.9201329946517944
464246326.6193166,4195.0,98.4375,18.209956864283,0.0610987767577171,0.5169519782066345
464252326.6193166,3805.0,82.96875,22.02431283704216,0.2087135463953018,0.594002902507782
464252326.6193166,3806.0,85.78124999999999,22.02431283704216,0.0611788146197795,0.8310180902481079
464261926.6193166,5558.0,331.875,5.979156796301311,0.0937004536390304,0.6919699311256409
464264326.6193166,4450.0,95.625,15.713861048008212,0.0887965559959411,0.8531967997550964
464266726.6193166,7586.0,275.625,-13.248014905676952,0.2157501876354217,0.5412701368331909
464269126.6193166,10703.0,126.96428571428572,-48.1412077943603,0.8420525789260864,0.6641598343849182
464270926.6193166,25.0,33.74999999999999,84.14973293629664,0.0992549955844879,0.6234399676322937
464275126.6193166,3805.0,82.96875,22.02431283704216,0.1028867810964584,0.6470025181770325
464281126.6193166,746.0,296.05263157894734,61.9438370231567,0.1354684382677078,0.533760130405426
464281726.6193166,2779.0,77.34375,32.79716829582364,0.6521409153938293,0.7052741050720215
464298526.6193166,4322.0,97.03125,16.957763300004146,0.1228620931506156,0.9997184872627258
464298526.6193166,4323.0,99.84375,16.957763300004146,0.3303882479667663,0.9965903759002686
464299126.6193166,4322.0,97.03125,16.957763300004146,0.0841412991285324,0.7773512601852417
