ENERGY,RA,DEC,L,B,THETA,PHI,ZENITH_ANGLE,EARTH_AZIMUTH_ANGLE,TIME,EVENT_ID,RUN_ID,RECON_VERSION,CONVERSION_TYPE,LIVETIME,MC_SRC_ID,MCENERGY,CONT_ANG,WEIGHT,GTI,probability,GRB
53051.76,300.4493,2.6586728,43.57437,-14.33046,54.41745,239.95747,59.518387,87.04329,530067450.6595013,0,0,0,1,0.0,0,58074.03,0.6240334344297501,2.5679365111827184,1,1,GRB_Simulated_9509
291234.72,300.5554,2.5250592,43.506405,-14.487779,54.350437,239.76448,59.621197,87.20098,530067450.6625166,0,0,0,0,0.0,0,285563.16,0.5086169253955617,3.8656130927017607,1,1,GRB_Simulated_9509
238805.89,300.38474,2.6342497,43.520153,-14.285765,54.36507,240.01292,59.453033,87.07,530067450.66480553,0,0,0,0,0.0,0,248853.77,0.5181451464890033,3.724750019763692,1,1,GRB_Simulated_9509
203990.83,300.51413,2.546368,43.505127,-14.441394,54.34931,239.82155,59.580208,87.17531,530067450.6666598,0,0,0,0,0.0,0,199515.75,0.5142420091585336,3.7815068917084003,1,1,GRB_Simulated_9509
58708.027,300.51776,2.5062919,43.4707,-14.463934,54.315784,239.79404,59.582912,87.22188,530067450.6680656,0,0,0,1,0.0,0,58058.03,0.6058970152661903,2.723970335888149,1,1,GRB_Simulated_9509
